Generated At,Relative Path,File Name,Directory,Language,Total Lines,Code Lines,Comment Lines,Blank Lines,File Size (bytes)
2025-11-09T17:41:06.520Z,tsconfig.json,tsconfig.json,,JSON,24,24,0,0,449
2025-11-09T17:41:06.520Z,TESTING_GUIDE.md,TESTING_GUIDE.md,,Markdown,168,134,0,34,6667
2025-11-09T17:41:06.520Z,RELEASE_NOTES_v1.1.0.md,RELEASE_NOTES_v1.1.0.md,,Markdown,159,113,0,46,6223
2025-11-09T17:41:06.520Z,README.md,README.md,,Markdown,438,369,0,69,25287
2025-11-09T17:41:06.520Z,package.json,package.json,,JSON,296,295,0,1,10652
2025-11-09T17:41:06.520Z,templates\settings.js,settings.js,templates,JavaScript,345,239,51,55,12105
2025-11-09T17:41:06.520Z,templates\ui-handlers-standalone.js,ui-handlers-standalone.js,templates,JavaScript,620,453,75,92,22608
2025-11-09T17:41:06.520Z,templates\xml-export-standalone.js,xml-export-standalone.js,templates,JavaScript,149,114,14,21,6352
2025-11-09T17:41:06.520Z,templates\workspace.js,workspace.js,templates,JavaScript,583,440,63,80,28295
2025-11-09T17:41:06.520Z,templates\webview-report.js,webview-report.js,templates,JavaScript,52,29,14,9,1934
2025-11-09T17:41:06.520Z,templates\webview-report.html,webview-report.html,templates,HTML,144,120,10,14,7275
2025-11-09T17:41:06.520Z,templates\webview-report.css,webview-report.css,templates,CSS,1047,846,53,148,29899
2025-11-09T17:41:06.520Z,templates\ui-handlers.js,ui-handlers.js,templates,JavaScript,339,248,43,48,10759
2025-11-09T17:41:06.520Z,templates\ui-handlers-minimal.js,ui-handlers-minimal.js,templates,JavaScript,765,548,91,126,33923
2025-11-09T17:41:06.520Z,templates\tabulator-manager.js,tabulator-manager.js,templates,JavaScript,1860,1401,216,243,95521
2025-11-09T17:41:06.520Z,src\utils\configurationUtils.ts,configurationUtils.ts,src\utils,TypeScript,98,82,9,7,3676
2025-11-09T17:41:06.520Z,src\utils\exclusionUtils.ts,exclusionUtils.ts,src\utils,TypeScript,374,250,53,71,14937
2025-11-09T17:41:06.520Z,src\utils\fileUtils.ts,fileUtils.ts,src\utils,TypeScript,70,60,2,8,2706
2025-11-09T17:41:06.520Z,src\utils\globUtils.ts,globUtils.ts,src\utils,TypeScript,74,58,8,8,3402
2025-11-09T17:41:06.520Z,src\utils\webviewManager.ts,webviewManager.ts,src\utils,TypeScript,431,332,44,55,23035
2025-11-09T17:41:06.520Z,src\utils\pathUtils.ts,pathUtils.ts,src\utils,TypeScript,66,40,14,12,2484
2025-11-09T17:41:06.520Z,src\utils\workspaceUtils.ts,workspaceUtils.ts,src\utils,TypeScript,209,143,34,32,8158
2025-11-09T17:41:06.520Z,src\utils\htmlUtils.ts,htmlUtils.ts,src\utils,TypeScript,250,199,21,30,10499
2025-11-09T17:41:06.520Z,templates\tabulator-manager-standalone.js,tabulator-manager-standalone.js,templates,JavaScript,507,404,57,46,24023
2025-11-09T17:41:06.520Z,src\extension.ts,extension.ts,src,TypeScript,275,201,34,40,12881
2025-11-09T17:41:06.520Z,templates\tabulator-manager-common.js,tabulator-manager-common.js,templates,JavaScript,225,162,31,32,9177
2025-11-09T17:41:06.520Z,src\types\index.ts,index.ts,src\types,TypeScript,53,49,2,2,1985
2025-11-09T17:41:06.520Z,src\handlers\emojiHandler.ts,emojiHandler.ts,src\handlers,TypeScript,454,355,47,52,22304
2025-11-09T17:41:06.520Z,src\handlers\patternHandler.ts,patternHandler.ts,src\handlers,TypeScript,888,698,70,120,40835
2025-11-09T17:41:06.520Z,templates\settings.html,settings.html,templates,HTML,357,333,5,19,24130
2025-11-09T17:41:06.520Z,templates\settings.css,settings.css,templates,CSS,1186,1006,26,154,27663
2025-11-09T17:41:06.520Z,templates\report.js,report.js,templates,JavaScript,503,382,51,70,19909
2025-11-09T17:41:06.520Z,templates\report.html,report.html,templates,HTML,149,120,11,18,7046
2025-11-09T17:41:06.520Z,src\handlers\settingsHandler.ts,settingsHandler.ts,src\handlers,TypeScript,559,409,67,83,23805
2025-11-09T17:41:06.520Z,templates\report.css,report.css,templates,CSS,1673,1407,69,197,41696
2025-11-09T17:41:06.520Z,templates\main.js,main.js,templates,JavaScript,50,32,12,6,1925
2025-11-09T17:41:06.520Z,templates\htmlgenerator-helpers.js,htmlgenerator-helpers.js,templates,JavaScript,112,86,14,12,4257
2025-11-09T17:41:06.520Z,templates\glob-patterns.js,glob-patterns.js,templates,JavaScript,99,75,11,13,3417
2025-11-09T17:41:06.520Z,templates\filter-manager.js,filter-manager.js,templates,JavaScript,121,83,21,17,4127
2025-11-09T17:41:06.520Z,templates\emoji-search-data.json,emoji-search-data.json,templates,JSON,1323,1323,0,0,87262
2025-11-09T17:41:06.520Z,templates\emoji-picker.js,emoji-picker.js,templates,JavaScript,1,0,0,1,0
2025-11-09T17:41:06.520Z,src\handlers\settingsWebviewHandler.ts,settingsWebviewHandler.ts,src\handlers,TypeScript,350,266,32,52,16615
2025-11-09T17:41:06.520Z,templates\emoji-picker-module.js,emoji-picker-module.js,templates,JavaScript,291,223,25,43,9858
2025-11-09T17:41:06.520Z,templates\emoji-data.json,emoji-data.json,templates,JSON,154,154,0,0,9778
